if_fault_id,fault_no,status,occurrence_time,occurrence_place,train_no,train_type_desc,car_no,railway,report_position,cause_class,org_id,fault_level,fault_brief,configuration_location,intuitive_fault_object,intuitive_fault_object_id,intuitive_fault_object_desc,intuitive_fault_pattern,intuitive_fault_pattern_id,intuitive_fault_pattern_desc,reconnect_location,occurrence_time,occurrence_place,accident_level,responsibility_class,running_way,falut_environment,main_responsibility,other_responsibility,car_trips,accumulated_mileage,fault_result,start_late,end_late,fault_desc,fault_order_type,report_time,processing_date,processing_result,special_fault,safety_supervisio_fault,in_repair,startup_fault_analysis,report_person,report_part,contact_tel,real_fault_object,real_fault_object_id,real_other_fault_object_desc,real_fault_pattern,real_fault_pattern_id,real_other_fault_pattern_desc,fault_cause,other_fault_cause_desc,solution,other_solution,fault_property,diagnostic_time,initial_cause_analysis,final_cause_analysis,replace_parts,repair_location,debugging_time,total_repair_counts,repair_time,total_downtime,repair_property,initial_treatment_measures,final_treatment_measures,important_info_no,closed_loop_time
,,,,西安北动车所,,GSYE11:416,,成都铁路局-贵阳,佛山,,,,,,,,,硬件故障,,,,,西安北动车所,,,赣州-深圳北,,上海铁路局-南京动车组运用所,宏达赛耐尔,D2357,,,,,,,,,,,,,,,,,,,,硬件故障,,,,,更换新管路,,,,,,,,,,,,,,,检服-内-2017-118,
,,,,重庆西-珞璜南区间,,GSYE11:417,,成都铁路局-空,兰州,,,,,,,,,车门关闭故障,,,,,重庆西-珞璜南区间,,,邯郸东-北京西,,上海铁路局-合肥动车所,苏州华启智能科技有限公司,G6742,,,,,,,,,,,,,,,,,,,,车门关闭故障,,,,,更换部件，并部件重新选型,,,,,,,,,,,,,,,检服-转-2017-279,
,,,,桂林动车所,,GSYE12:418,,香港铁路有限公司-香港石岗,厦门,,,,,,,,,低压开关动作,,,,,桂林动车所,,,郑州-福州,,上海铁路局-合肥动车组运用所,小糸今创,D295,,,,,,,,,,,,,,,,,,,,低压开关动作,,,,,更换,,,,,,,,,,,,,,,检服-转-2017-314,
,,,,运行中,,GSYE12:419,,济南铁路局-青岛,长沙南,,,,,,,,,松脱,,,,,运行中,,,南京-龙岩,,上海铁路局-合肥南动车组运用所,小糸,G1661,,,,,,,,,,,,,,,,,,,,松脱,,,,,更换冷凝器,,,,,,,,,,,,,,,检服-转-2017-117,
,,,,运营途中,,GSYE17:420,,南昌铁路局-福州,济南,,,,,,,,,无法集控开门/关门,,,,,运营途中,,,成都东-贵阳北,,上海铁路通信有限公司,Atlas,G8651次,,,,,,,,,,,,,,,,,,,,无法集控开门/关门,,,,,调整安装卷帘,,,,,,,,,,,,,,,检服-转-2017-264,
,,,,青岛动车所,,GSYE17:421,,北京铁路局-北京南,长沙,,,,,,,,,裂纹/破损,,,,,青岛动车所,,,重庆北-厦门北,,上海锐骥利电气有限公司,华兴致远,D2234,,,,,,,,,,,,,,,,,,,,裂纹/破损,,,,,修复椅子,,,,,,,,,,,,,,,检服-转-2017-132,
,,,,途中,,GSYE11:422,,昆明铁路局-空,广珠,,,,,,,,,逆变器电源故障,,,,,途中,,,太原南-兰州西,,专运处-专运处,北京先河交通设备技术有限公司,D2565,,,,,,,,,,,,,,,,,,,,逆变器电源故障,,,,,更换制动夹钳装置,,,,,,,,,,,,,,,检服-转-2017-286,
,,,,武夷山北站,,GSYE11:423,,广州铁路（集团）公司-广州南,惠州,,,,,,,,,信号异常,,,,,武夷山北站,,,武汉-太原南,,丛林公司,南昌动车所,G692,,,,,,,,,,,,,,,,,,,,信号异常,,,,,更换新产品,,,,,,,,,,,,,,,检服-转-2017-269,
,,,,昆明南所,,GSYE11:424,,南昌铁路局-技术工程部,北京东,,,,,,,,,黑屏,,,,,昆明南所,,,厦门北-上海虹桥,,中国北车集团大同电力机车有限责任公司,株机电气,D3202,,,,,,,,,,,,,,,,,,,,黑屏,,,,,更换风机,,,,,,,,,,,,,,,检服-转-2017-127,
,,,,汉口站,,GSYE11:425,,广州铁路（集团）公司-长沙南,香港石岗,,,,,,,,,摩擦粒子脱落,,,,,汉口站,,,西安北-北京西,,中国北车集团永济电机厂,常州小糸今创交通设备有限公司,G652次,,,,,,,,,,,,,,,,,,,,摩擦粒子脱落,,,,,更换模块,,,,,,,,,,,,,,,四方安监-电-2017-353,
,,,,重庆北动车所,,GSYE11:426,,北京铁路局-北京西,深圳,,,,,,,,,松脱/丢失,,,,,重庆北动车所,,,昆明南-昆明,,中国石油化工股份有限公司青岛安全工程研究院(已删除),青岛威奥轨道股份有限公司,D8622次,,,,,,,,,,,,,,,,,,,,松脱/丢失,,,,,更换新锁,,,,,,,,,,,,,,,检服-内-2017-108,
,,,,贵阳北动车所,,GSYE11:427,,南宁铁路局-武汉,佛山西,,,,,,,,,标记错误/丢失,,,,,贵阳北动车所,,,长沙南-太原南,,中国铁路西安局集团有限公司西安动车段,常州剑湖金城车辆设备有限公司,G696次,,,,,,,,,,,,,,,,,,,,标记错误/丢失,,,,,更换转轴,,,,,,,,,,,,,,,检服-机-2017-165,
,,,,天门南-汉口区间,,GSYE11:428,,西安铁路局-技术工程部,广州东,,,,,,,,,裂纹,,,,,天门南-汉口区间,,,北京西-长沙南,,中国铁道科学研究院,赛德,G83,,,,,,,,,,,,,,,,,,,,裂纹,,,,,更换摄像头,,,,,,,,,,,,,,,检服-电-2017-499,
,,,,兰州西动车所,,GSYE11:429,,广州铁路（集团）公司-惠州,专运处,,,,,,,,,接地,,,,,兰州西动车所,,,淮南东-上海,,中国铁道科学研究院机车车辆研究所,地板布班,G6732,,,,,,,,,,,,,,,,,,,,接地,,,,,调整程序参数,,,,,,,,,,,,,,,检服-电-2017-477,
,,,,广州南站,,GSYE18:430,,昆明铁路局-石家庄,余姚,,,,,,,,,鼓泡,,,,,广州南站,,,北京西-郑州东,,中国铁道科学研究院集团有限公司机车车辆研究所,铁锚,G7267,,,,,,,,,,,,,,,,,,,,鼓泡,,,,,更换阀门,,,,,,,,,,,,,,,检服-转-2017-268,
,,,,郑州动车所,,GSYE18:431,,西安铁路局-空,忻州,,,,,,,,,故障,,,,,郑州动车所,,,北京南-上海,,中航路通实业有限公司,牵引,DJ5901,,,,,,,,,,,,,,,,,,,,故障,,,,,重新刷软件,,,,,,,,,,,,,,,检服-转-2017-263,
,,,,厦门北动车所,,GSYE18:432,,南宁铁路局-空,质量管理部,,,,,,,,,锁芯磨损,,,,,厦门北动车所,,,南宁-北京西,,中车四方车辆有限公司,郑州东动车所,D321,,,,,,,,,,,,,,,,,,,,锁芯磨损,,,,,更换钢丝,,,,,,,,,,,,,,,检服-转-2017-281,
,,,,石家庄-北京西,,GSYE18:433,,北京铁路局-技术工程部,深圳北,,,,,,,,,无法使用,,,,,石家庄-北京西,,,厦门北-青岛,,中车戚墅堰机车有限公司,huan,G530,,,,,,,,,,,,,,,,,,,,无法使用,,,,,重新安装调整承载轮,,,,,,,,,,,,,,,检服-电-2017-562,
,,,,长沙动车所,,GSYE18:434,,昆明铁路局-技术工程部,总装分厂,,,,,,,,,无信号,,,,,长沙动车所,,,D6510,,中车戚墅堰机车车辆工艺研究所有限公司,北京天宜尚佳,G243,,,,,,,,,,,,,,,,,,,,无信号,,,,,更换ADD阀,,,,,,,,,,,,,,,检服-内-2017-113,
,,,,济南东动车所,,GSYE18:435,,南宁铁路局-龙岩,BST广州南,,,,,,,,,裂纹/碎裂,,,,,济南东动车所,,,郑州东-桂林,,中车株洲电力机车有限公司,25,福州-南昌,,,,,,,,,,,,,,,,,,,,裂纹/碎裂,,,,,清理滤网,,,,,,,,,,,,,,,检服-电2017-143,
,,,,石家庄-郑州,,GSYE17:436,,成都铁路局-成都,物流中心,,,,,,,,,桌板松动/倾斜/脱落,,,,,石家庄-郑州,,,龙岩-深圳北,,中车株洲电力机车有限公司电气设备分公司,青岛四技工模具,G425,,,,,,,,,,,,,,,,,,,,桌板松动/倾斜/脱落,,,,,疏通阀门,,,,,,,,,,,,,,,检服-体-2017-050,
,,,,线上,,GSYE17:437,,昆明铁路局-昆明,车体分厂,,,,,,,,,误输出,,,,,线上,,,成都东-广州南,,中车株洲电机有限公司,南宁局,D2355,,,,,,,,,,,,,,,,,,,,误输出,,,,,更换按钮,,,,,,,,,,,,,,,检服-转-2017-116,
,,,,杭州东所,,GSYE17:438,,乌鲁木齐铁路局-乌鲁木齐,检修服务事业部,,,,,,,,,变形/裂纹/断裂,,,,,杭州东所,,,广州南-上海虹桥,,中车永济电机有限公司,北京华高世纪科技股份有限公司,D1833,,,,,,,,,,,,,,,,,,,,变形/裂纹/断裂,,,,,更换显示器,,,,,,,,,,,,,,,检服-机-2017-184,
,,,,福州南动车所,,GSYE17:439,,南宁铁路局-郑州,转向架分厂,,,,,,,,,漏水,,,,,福州南动车所,,,宁波-余姚,,中车资阳机车有限公司,成都检修基地,G86,,,,,,,,,,,,,,,,,,,,漏水,,,,,更换频闪灯,,,,,,,,,,,,,,,检服-电-2017-017,
,,,,贵阳北-长沙南区间,,GSYE15:440,,广州铁路（集团）公司-佛山,,,,,,,,,,密封胶开裂,,,,,贵阳北-长沙南区间,,,郑州东-深圳北,,中车青岛四方机车车辆股份有限公司,柳州机务段,S1104,,,,,,,,,,,,,,,,,,,,密封胶开裂,,,,,更换桌板,,,,,,,,,,,,,,,检服-电-2017-480,
,,,,北京西服务站,,GSYE15:441,,上海铁路局-技术工程部,,,,,,,,,,部件松脱(断裂/脱落),,,,,北京西服务站,,,福田-北京西,,中车青岛四方机车车辆股份有限公司总装分厂,长春龙泰,G73,,,,,,,,,,,,,,,,,,,,部件松脱(断裂/脱落),,,,,修复,,,,,,,,,,,,,,,检服-内-2017-147,
,,,,运营,,GSYE15:442,,郑州铁路局-空,,,,,,,,,,蓝屏,,,,,运营,,,合肥南所-合肥南站,,中车青岛四方机车车辆股份有限公司机械厂,跳空开,G80,,,,,,,,,,,,,,,,,,,,蓝屏,,,,,紧固漏水处活结,,,,,,,,,,,,,,,四方安监-电-2017-345,
,,,,石家庄至邢台东区间,,GSYE15:443,,济南铁路局-西安,,,,,,,,,,无法固定,,,,,石家庄至邢台东区间,,,重庆北-深圳北,,中车青岛四方机车车辆股份有限公司海外事业部,成都动车段检修基地,0DJ8692次,,,,,,,,,,,,,,,,,,,,无法固定,,,,,更换电路板,,,,,,,,,,,,,,,检服-内-2018-051,
,,,,成都东动车所,,GSYE16:451,,济南铁路局-济南,,,,,,,,,,无法开机,,,,,成都东动车所,,,G1568,,中车青岛四方机车车辆股份有限公司车体分厂,合肥南动车所,G1314/1,,,,,,,,,,,,,,,,,,,,无法开机,,,,,更换故障位置止转垫片及螺栓,,,,,,,,,,,,,,,检服-内-2017-107,
,,,,鼎湖东,,GSYE16:452,,广州铁路（集团）公司-广珠,,,,,,,,,,松动/脱落,,,,,鼎湖东,,,南昌西-上海虹桥,,中车青岛四方机车车辆股份有限公司转向架分厂,日本扶桑,商丘6:42-北京南11:13,,,,,,,,,,,,,,,,,,,,松动/脱落,,,,,更新损坏部件,,,,,,,,,,,,,,,检服-机-2017-154,
,,,,漳浦-饶平区间,,GSYE16:453,,济南铁路局-空,,,,,,,,,,焊缝开裂,,,,,漳浦-饶平区间,,,深圳北-石家庄,,中车青岛四方车辆研究所有限公司,电务,G4798,,,,,,,,,,,,,,,,,,,,焊缝开裂,,,,,更换话机（附带接线）,,,,,,,,,,,,,,,检服-转-2017-131,
,,,,昆明南站,,GSYE16:454,,南昌铁路局-北京西,,,,,,,,,,换向脚踏故障,,,,,昆明南站,,,珠海-桂林北,,中铁一院集团南方工程咨询监理有限公司,025606车1端1侧普利卡管管卡护套裂开；,G532,,,,,,,,,,,,,,,,,,,,换向脚踏故障,,,,,在压紧缸座处加PVC垫片以调节压紧缸与门板间距,,,,,,,,,,,,,,,,
,,,,北京东动车所,,GSYE16:455,,南宁铁路局-成都,,,,,,,,,,无法升弓,,,,,北京东动车所,,,上海虹桥-北京南,,丹纳列车连接系统（上海）有限公司,00车刮雨器不喷水,D2368,,,,,,,,,,,,,,,,,,,,无法升弓,,,,,手动恢复开关状态,,,,,,,,,,,,,,,,
,,,,合肥南所,,GSYE16:456,,广州铁路（集团）公司-技术工程部,,,,,,,,,,部件裂纹/断裂,,,,,合肥南所,,,武汉-青岛,,丹阳公司,无明显,G258,,,,,,,,,,,,,,,,,,,,部件裂纹/断裂,,,,,更换座椅阅读灯,,,,,,,,,,,,,,,,
,,,,泉州站站停,,GSYE16:457,,昆明铁路局-广州南,,,,,,,,,,部件松动/脱落,,,,,泉州站站停,,,京津城际,,丹阳市铁龙机客车配件有限公司,,D638,,,,,,,,,,,,,,,,,,,,部件松动/脱落,,,,,更换闸片托,,,,,,,,,,,,,,,,
,,,,广州南动车所,,GSYE16:458,,济南铁路局-贵阳,,,,,,,,,,破损,,,,,广州南动车所,,,成都东-上海虹桥,,乌鲁木齐铁路局-乌鲁木齐动车所,,D2504,,,,,,,,,,,,,,,,,,,,破损,,,,,更换排障器卷边垫片,,,,,,,,,,,,,,,,
,,,,西安北-渭南北区间,,GSYE16:459,,南昌铁路局-郑州,,,,,,,,,,叶片积尘,,,,,西安北-渭南北区间,,,太原南-西安北,,乌鲁木齐铁路局-乌鲁木齐动车组运用所,,D6075,,,,,,,,,,,,,,,,,,,,叶片积尘,,,,,修复处理,,,,,,,,,,,,,,,,
,,,,长沙-广州,,GSYE16:460,,成都铁路局-北京东,,,,,,,,,,接触不良,,,,,长沙-广州,,,济南-荣成,,乌鲁木齐铁路局-乌鲁木齐西动车所,,G81,,,,,,,,,,,,,,,,,,,,接触不良,,,,,重新紧固,,,,,,,,,,,,,,,,
,,,,合肥南动车所,,E01:2001,,济南铁路局-重庆,,,,,,,,,,绝缘破损,,,,,合肥南动车所,,,北京西-贵阳北,,云集（福建）实业有限公司,,G1514,,,,,,,,,,,,,,,,,,,,绝缘破损,,,,,清理污物,,,,,,,,,,,,,,,,
,,,,威海站,,E01:2002,,成都铁路局-武汉,,,,,,,,,,部件破损,,,,,威海站,,,昆明南-南昌西,,亚西玛（上海）贸易有限公司,,0D3022,,,,,,,,,,,,,,,,,,,,部件破损,,,,,升级软件,,,,,,,,,,,,,,,,
,,,,柳州到永福南区间,,E01:2003,,广州铁路（集团）公司-佛山西,,,,,,,,,,踏面硌伤,,,,,柳州到永福南区间,,,上海南-上海虹桥,,今创集团有限公司,,G1398,,,,,,,,,,,,,,,,,,,,踏面硌伤,,,,,更换新工艺投放口外平台,,,,,,,,,,,,,,,,
,,,,SSS,,E01:2004,,上海铁路局-余姚,,,,,,,,,,漏风,,,,,SSS,,,昆明南-合肥南,,今创集团股份有限公司,,D8801,,,,,,,,,,,,,,,,,,,,漏风,,,,,重点跟踪观察,,,,,,,,,,,,,,,,
,,,,福州南,,E01:2005,,广州铁路（集团）公司-西安,,,,,,,,,,机械卡滞,,,,,福州南,,,哈密-乌鲁木齐,,住友,,G312,,,,,,,,,,,,,,,,,,,,机械卡滞,,,,,擦拭油迹，观察油位，跟踪观察,,,,,,,,,,,,,,,,
,,,,广州南站始,,E01:2006,,北京铁路局-北京东,,,,,,,,,,框架锈蚀/断裂/破损,,,,,广州南站始,,,青岛-济南,,住电国际贸易（上海）有限公司,,D6002,,,,,,,,,,,,,,,,,,,,框架锈蚀/断裂/破损,,,,,更换开门到位限位开关,,,,,,,,,,,,,,,,
,,,,华山北与灵山西区,,E01:2007,,郑州铁路局-技术工程部,,,,,,,,,,盖板关闭不严,,,,,华山北与灵山西区,,,青岛-重庆北,,信息技术部,,DJ7718,,,,,,,,,,,,,,,,,,,,盖板关闭不严,,,,,重新调整高度,,,,,,,,,,,,,,,,
,,,,韶关-广州南区间,,E01:2008,,广州铁路（集团）公司-长沙,,,,,,,,,,AAD板卡故障,,,,,韶关-广州南区间,,,北京南-天津,,克诺尔车辆设备(苏州)有限公司,,0G74,,,,,,,,,,,,,,,,,,,,AAD板卡故障,,,,,更换电机,,,,,,,,,,,,,,,,
,,,,南京动车所,,E01:2009,,太原铁路局-技术工程部,,,,,,,,,,止挡松动/脱落,,,,,南京动车所,,,运城北-太原南,,克诺尔车辆设备（苏州）有限公司,,G318,,,,,,,,,,,,,,,,,,,,止挡松动/脱落,,,,,更换板卡,,,,,,,,,,,,,,,,
,,,,深圳动车所,,E01:2010,,广州铁路（集团）公司-广州东,,,,,,,,,,冲网,,,,,深圳动车所,,,广州南-广州动车段,,克诺尔车辆设备（苏州）有限公司北京分公司,,C2085,,,,,,,,,,,,,,,,,,,,冲网,,,,,更换驱动板,,,,,,,,,,,,,,,,
,,,,佛山客专动车所,,E01:2011,,南宁铁路局-广州南,,,,,,,,,,异常跳空开,,,,,佛山客专动车所,,,广州南-兰州西,,兰州局段,,D5310,,,,,,,,,,,,,,,,,,,,异常跳空开,,,,,更换相应电控板,,,,,,,,,,,,,,,,
,,,,北京西-石家庄区间,,E01:2012,,成都铁路局-郑州,,,,,,,,,,鼓包,,,,,北京西-石家庄区间,,,北京南-厦门北,,兰州铁路局-兰州动车所,,0G9645,,,,,,,,,,,,,,,,,,,,鼓包,,,,,更换NVR板,,,,,,,,,,,,,,,,
,,,,深圳北站,,E01:2013,,南昌铁路局-西安,,,,,,,,,,部件松脱/破损,,,,,深圳北站,,,南宁09:13-北京西22:50,,兰州铁路局-兰州动车组运用所,,G96/7,,,,,,,,,,,,,,,,,,,,部件松脱/破损,,,,,更换锁,,,,,,,,,,,,,,,,
